姓名,年龄,籍贯,身高,体重,婚恋
舒娜,25,福建省,166.6,53.3,恋爱中
谢慧,43,河北省,163.3,56.9,恋爱中
景军,20,北京市,158.7,61.0,恋爱中
庄彬,36,黑龙江省,161.1,50.5,恋爱中
安瑜,44,河北省,164.7,49.6,恋爱中
纪凤英,28,宁夏回族自治区,162.1,54.9,恋爱中
张云,43,浙江省,167.4,57.8,单身
裴东,26,宁夏回族自治区,161.9,59.9,恋爱中
王磊,22,香港特别行政区,169.0,58.3,已婚
林玉珍,43,湖南省,162.1,47.1,恋爱中
潘秀英,21,广东省,156.7,53.2,单身
刘雷,22,新疆维吾尔自治区,159.0,53.9,单身
钟颖,29,辽宁省,162.3,58.2,恋爱中
高刚,36,台湾省,161.6,57.9,已婚
甄芳,18,陕西省,162.3,43.1,恋爱中
邱强,26,湖北省,157.3,54.1,单身
李艳,22,辽宁省,156.0,58.6,离异
罗文,34,江西省,169.7,62.3,单身
任秀荣,41,海南省,160.9,63.9,单身
王勇,33,黑龙江省,162.7,53.0,离异
周利,42,安徽省,158.9,53.2,已婚
刘金凤,34,甘肃省,160.1,56.0,单身
黄红,32,广西壮族自治区,162.8,55.0,恋爱中
张雪,37,山东省,164.2,62.1,单身
吴琴,41,辽宁省,166.7,46.1,已婚
秦晨,32,河南省,149.2,60.6,单身
李桂兰,19,宁夏回族自治区,155.2,53.7,离异
李岩,45,湖北省,156.1,44.2,离异
金淑华,31,黑龙江省,164.7,59.6,单身
林欣,33,安徽省,159.1,39.5,离异
韩丹丹,20,辽宁省,159.3,57.4,单身
周勇,28,福建省,154.6,56.1,恋爱中
蓝凤兰,20,山西省,161.9,58.5,恋爱中
姜想,26,湖南省,162.6,49.2,已婚
吴华,30,四川省,168.0,54.0,已婚
贾帅,32,山西省,161.9,49.4,离异
李琴,21,陕西省,159.8,49.7,单身
吴丽娟,45,内蒙古自治区,161.1,65.3,恋爱中
梁桂荣,31,青海省,155.1,45.3,离异
赵玉珍,25,江西省,169.4,53.7,离异
陈宇,28,内蒙古自治区,158.7,61.2,离异
陶玉,30,青海省,159.0,66.0,离异
胡红,41,福建省,165.4,52.1,单身
韦晶,28,吉林省,172.8,51.4,离异
齐秀珍,28,青海省,165.7,56.8,已婚
朱彬,29,吉林省,168.5,64.4,恋爱中
李阳,39,澳门特别行政区,162.2,50.5,离异
何萍,20,吉林省,164.3,50.9,单身
陈丹,44,天津市,172.1,55.8,单身
严瑞,20,广西壮族自治区,160.2,56.1,离异
高欢,21,浙江省,155.3,49.2,已婚
张林,43,云南省,168.0,51.1,恋爱中
杨欢,35,辽宁省,156.8,58.2,单身
李莹,36,宁夏回族自治区,167.9,59.3,已婚
王桂荣,39,辽宁省,167.0,50.5,单身
马彬,31,四川省,154.9,64.0,已婚
张云,45,山西省,160.4,53.5,离异
姜欣,45,西藏自治区,168.6,58.3,单身
殷颖,27,黑龙江省,164.3,68.0,已婚
陈柳,29,上海市,158.8,60.6,单身
江鹏,36,四川省,162.3,56.6,恋爱中
黄桂芳,22,贵州省,169.6,58.0,离异
林娟,25,重庆市,164.7,61.4,单身
欧阳倩,29,青海省,160.2,50.0,已婚
黄丽,21,湖南省,156.8,43.2,已婚
曲欣,36,湖北省,172.3,48.4,恋爱中
王静,43,云南省,160.9,53.3,离异
钟丽,45,浙江省,163.5,59.9,单身
李波,37,河南省,166.3,51.5,已婚
贾桂荣,18,吉林省,161.2,56.7,恋爱中
来强,26,青海省,160.8,64.6,已婚
李帆,28,湖南省,164.5,59.4,已婚
朱玉英,18,西藏自治区,165.3,62.0,恋爱中
马旭,45,北京市,162.9,47.2,恋爱中
李婷,36,澳门特别行政区,164.0,51.1,离异
李佳,20,青海省,159.4,58.5,恋爱中
饶丽华,41,上海市,168.2,55.1,单身
张英,20,辽宁省,163.5,65.2,恋爱中
王莉,30,江苏省,163.2,70.6,离异
李瑜,32,河南省,164.8,44.4,已婚
薛雷,23,四川省,165.8,57.3,已婚
潘红梅,27,广西壮族自治区,168.4,59.0,已婚
宋桂荣,42,河北省,161.3,47.7,单身
张楠,19,黑龙江省,161.0,49.9,恋爱中
谢秀云,23,青海省,159.1,58.5,单身
张宁,39,北京市,170.3,57.4,单身
熊龙,26,宁夏回族自治区,156.0,57.7,离异
郭梅,39,云南省,168.0,51.3,离异
郑红梅,33,福建省,161.3,55.1,离异
丛桂香,31,黑龙江省,158.1,58.9,已婚
陈佳,24,山西省,161.4,57.5,单身
苏帆,29,浙江省,157.6,52.4,离异
罗帅,21,山西省,165.6,52.8,已婚
舒婷婷,39,湖南省,170.6,52.6,离异
卢琳,34,湖北省,163.1,60.6,已婚
孙涛,19,青海省,154.9,44.4,恋爱中
邵桂荣,30,西藏自治区,154.4,62.6,单身
周玉英,18,北京市,159.2,70.3,恋爱中
曹玉,27,辽宁省,159.2,56.1,恋爱中
邢海燕,42,吉林省,169.7,67.0,恋爱中
胡燕,42,陕西省,172.3,62.3,已婚
王林,27,海南省,167.1,58.6,已婚
黄桂香,21,广西壮族自治区,165.9,51.7,单身
朱兵,33,西藏自治区,157.9,55.0,离异
冯春梅,23,上海市,161.1,52.3,恋爱中
严欣,30,香港特别行政区,165.5,60.7,恋爱中
邓帅,34,四川省,162.4,63.9,已婚
黄颖,20,湖南省,156.3,53.8,离异
刘静,45,河南省,158.4,43.8,单身
王宇,31,福建省,161.6,54.3,单身
苏飞,32,辽宁省,169.6,58.8,单身
焦凤兰,45,河南省,156.9,66.1,已婚
姜静,36,江西省,168.1,58.5,离异
张娜,36,北京市,160.9,49.2,离异
杨静,40,广东省,160.1,61.5,离异
孙敏,27,新疆维吾尔自治区,171.4,64.3,单身
陈金凤,30,辽宁省,159.6,48.3,单身
耿玉英,28,黑龙江省,162.7,44.4,恋爱中
罗想,43,香港特别行政区,163.6,54.1,离异
陈玉华,44,广东省,159.7,45.4,已婚
赵芳,20,湖北省,164.6,51.8,离异
何萍,45,山东省,156.2,37.8,单身
刘娜,25,江苏省,161.9,65.6,离异
褚勇,36,山东省,170.3,52.3,离异
智亮,34,山东省,159.0,57.8,单身
梁帅,30,香港特别行政区,157.0,56.8,已婚
章帅,41,陕西省,165.8,62.4,已婚
赵超,25,内蒙古自治区,161.5,53.8,已婚
杨凤英,42,陕西省,157.6,50.0,恋爱中
周玉华,20,天津市,160.9,57.2,单身
余丽华,34,新疆维吾尔自治区,166.6,50.2,恋爱中
彭玉兰,42,吉林省,169.5,53.4,已婚
马浩,29,辽宁省,161.9,50.5,恋爱中
罗凤英,25,西藏自治区,149.9,60.3,单身
梅玲,22,江西省,165.7,53.3,已婚
陈杰,24,湖南省,162.3,58.1,恋爱中
陈婷婷,37,天津市,154.2,51.8,恋爱中
楚淑兰,42,香港特别行政区,166.0,47.5,单身
黄芳,23,四川省,163.5,46.9,离异
廖彬,32,山东省,164.3,54.8,离异
熊成,39,辽宁省,153.9,62.0,已婚
王超,45,山西省,158.3,50.1,已婚
周雪,22,安徽省,163.0,61.9,离异
叶淑英,20,天津市,156.9,55.4,离异
戴文,32,澳门特别行政区,164.1,59.2,已婚
葛华,43,宁夏回族自治区,162.9,52.8,已婚
王桂英,36,山西省,157.9,55.5,单身
梁桂芳,29,四川省,156.6,37.5,单身
杨颖,27,辽宁省,164.2,60.4,离异
李玉珍,32,内蒙古自治区,150.2,48.9,单身
徐雪梅,19,陕西省,165.1,67.3,已婚
金红,44,江苏省,162.1,50.6,已婚
宋颖,20,贵州省,161.1,63.2,单身
曹龙,37,上海市,158.8,50.2,离异
王健,32,河南省,159.6,49.3,单身
杨桂荣,32,香港特别行政区,162.6,64.7,恋爱中
方刚,28,黑龙江省,163.6,53.5,离异
龙楠,34,四川省,160.5,45.6,恋爱中
王俊,19,贵州省,166.4,54.5,离异
王亮,21,重庆市,161.1,74.2,已婚
刘桂珍,40,天津市,163.5,50.5,单身
丁春梅,34,湖南省,159.9,61.9,恋爱中
周秀珍,19,江苏省,162.6,46.4,恋爱中
刘桂芝,40,广西壮族自治区,166.6,51.0,离异
朱志强,32,安徽省,171.4,61.5,恋爱中
秦涛,29,江西省,159.8,62.7,已婚
房峰,27,台湾省,162.3,60.1,离异
冯玉英,31,云南省,164.4,49.9,已婚
江萍,39,山东省,158.8,61.2,单身
梁伟,43,新疆维吾尔自治区,160.3,52.6,已婚
金玉梅,20,浙江省,157.2,57.5,已婚
孟红霞,21,江苏省,172.3,48.6,离异
解桂芝,27,江苏省,162.1,63.5,已婚
吴秀珍,41,内蒙古自治区,161.6,57.7,恋爱中
俞磊,28,新疆维吾尔自治区,156.7,57.6,单身
施红梅,36,福建省,161.1,60.9,恋爱中
周杨,29,天津市,167.9,70.5,已婚
刘洁,38,江西省,164.9,57.0,离异
张佳,22,广东省,163.0,52.9,单身
刘琴,27,北京市,163.7,53.2,离异
张宇,38,山西省,162.8,62.9,已婚
仇婷,44,西藏自治区,157.0,61.8,恋爱中
张建平,39,上海市,168.6,54.3,单身
孙雪梅,38,浙江省,151.4,51.4,离异
王淑华,34,贵州省,168.5,54.9,已婚
李岩,18,吉林省,157.0,52.0,已婚
辛秀云,27,山西省,166.2,58.3,恋爱中
李岩,24,云南省,160.8,52.8,已婚
张娜,42,天津市,160.0,49.5,离异
詹浩,24,山西省,170.1,53.1,恋爱中
王敏,22,宁夏回族自治区,168.1,64.1,恋爱中
何东,20,北京市,167.0,52.4,已婚
杨玉梅,45,广东省,164.0,54.9,单身
黄杰,34,云南省,157.5,56.9,单身
黄超,39,山东省,156.1,62.1,已婚
杜涛,42,浙江省,159.7,56.2,恋爱中
王瑞,37,宁夏回族自治区,163.4,53.4,离异
蒋健,22,江西省,164.9,52.2,恋爱中
韩秀英,23,广西壮族自治区,166.4,46.9,恋爱中
余琳,41,河南省,162.6,66.6,离异
唐宇,19,香港特别行政区,157.0,50.9,离异
乔玉梅,29,河北省,164.6,56.1,恋爱中
王晨,32,青海省,163.8,57.9,已婚
常婷婷,42,内蒙古自治区,165.2,61.7,离异
孙秀英,25,河北省,164.0,53.6,恋爱中
王宇,27,安徽省,165.4,66.4,离异
周博,44,宁夏回族自治区,161.3,49.2,恋爱中
丁峰,29,北京市,167.5,54.3,离异
龙金凤,32,湖南省,151.1,60.1,已婚
殷芳,42,云南省,159.3,54.5,离异
黄龙,34,湖南省,163.7,56.1,离异
何秀华,23,天津市,165.5,52.4,恋爱中
鞠成,43,天津市,164.6,53.4,恋爱中
王鹏,45,江西省,165.7,58.7,已婚
孙丽娟,19,河北省,157.3,61.5,离异
马玉英,45,海南省,159.3,59.8,已婚
杜涛,35,黑龙江省,163.8,66.0,单身
武玉珍,40,广东省,160.9,52.9,单身
周刚,27,宁夏回族自治区,161.9,53.2,单身
林瑞,42,四川省,166.0,45.3,恋爱中
陈柳,26,山东省,156.7,48.6,离异
朱波,34,广西壮族自治区,166.8,65.3,恋爱中
唐慧,44,海南省,161.5,54.0,离异
洪秀兰,20,辽宁省,162.4,62.0,恋爱中
鲁峰,44,甘肃省,157.4,56.4,离异
何桂荣,29,福建省,166.9,58.0,单身
李秀英,31,湖北省,162.9,61.0,单身
何峰,30,宁夏回族自治区,148.5,59.1,已婚
黄秀兰,25,天津市,158.7,44.0,离异
王秀云,20,吉林省,164.6,63.2,已婚
李桂英,25,辽宁省,161.3,60.7,单身
茹波,28,天津市,170.1,62.9,单身
黄彬,44,澳门特别行政区,170.2,59.5,已婚
苏勇,43,贵州省,162.4,45.4,恋爱中
张玉华,22,吉林省,160.8,49.9,单身
杜彬,27,黑龙江省,172.9,53.9,离异
刘琳,40,吉林省,162.6,58.3,恋爱中
孙辉,42,北京市,162.2,65.2,离异
吴帅,32,宁夏回族自治区,158.9,56.2,单身
张建军,20,新疆维吾尔自治区,158.3,47.1,单身
符淑英,26,黑龙江省,158.9,54.8,恋爱中
许欣,44,台湾省,159.9,50.8,恋爱中
王成,35,江西省,155.0,54.5,离异
张敏,21,山东省,154.5,59.6,已婚
任芳,25,贵州省,162.4,46.3,已婚
尉玉兰,21,河南省,160.5,50.5,单身
卜文,25,澳门特别行政区,163.6,63.0,离异
黄玉兰,38,新疆维吾尔自治区,152.6,55.7,离异
刘倩,20,青海省,161.2,59.0,单身
吕红梅,44,天津市,163.1,50.5,离异
陈秀云,37,宁夏回族自治区,160.4,50.2,单身
牟阳,38,台湾省,167.4,55.1,恋爱中
刁晨,40,山西省,171.5,54.6,恋爱中
刘欣,27,山西省,158.5,45.9,离异
马斌,18,福建省,153.0,45.5,已婚
张红,25,安徽省,163.3,58.1,离异
朱春梅,23,浙江省,154.1,60.4,单身
孟艳,34,江西省,159.6,55.9,已婚
刘彬,20,山西省,170.1,60.4,单身
刘柳,30,澳门特别行政区,160.7,49.7,离异
陈阳,19,上海市,151.2,50.7,离异
赵丽娟,29,青海省,160.9,49.1,已婚
辛丽,41,上海市,161.3,55.5,单身
侯兰英,29,四川省,160.9,51.1,单身
林阳,29,宁夏回族自治区,162.8,57.7,恋爱中
杨兵,41,贵州省,156.5,63.5,单身
李伟,42,江西省,161.5,55.1,已婚
张宇,22,内蒙古自治区,165.5,56.4,单身
许文,29,云南省,166.8,56.7,已婚
丁玉珍,44,内蒙古自治区,158.9,57.2,恋爱中
徐刚,44,江苏省,156.3,55.7,离异
康倩,40,江西省,161.8,53.8,离异
柴建平,38,贵州省,161.4,43.7,恋爱中
钱娟,43,青海省,159.3,55.6,恋爱中
邵娜,20,广西壮族自治区,162.8,48.8,离异
刘玉梅,19,宁夏回族自治区,168.3,49.8,已婚
黄林,24,甘肃省,166.8,57.6,单身
孙荣,43,重庆市,158.8,65.7,恋爱中
林成,19,澳门特别行政区,156.0,60.5,已婚
李建华,27,辽宁省,167.0,51.0,离异
陈明,44,内蒙古自治区,169.0,53.5,离异
杨彬,26,黑龙江省,163.4,56.6,单身
张静,42,香港特别行政区,161.3,59.9,恋爱中
陈东,27,内蒙古自治区,166.0,44.5,已婚
陈欣,45,青海省,168.5,45.0,单身
陆磊,45,宁夏回族自治区,167.2,61.8,已婚
刘燕,26,山西省,156.5,52.5,单身
梁淑珍,43,河北省,156.5,53.7,已婚
查宁,31,广西壮族自治区,160.5,59.7,离异
蒋桂芳,41,湖北省,168.6,63.4,离异
黎岩,30,黑龙江省,159.2,53.7,已婚
谢成,23,云南省,153.6,50.2,离异
刘华,40,北京市,166.8,64.7,离异
唐磊,29,河南省,155.8,51.4,已婚
郝俊,43,河北省,161.9,56.7,单身
宁淑珍,41,湖南省,158.0,57.5,离异
李淑华,20,上海市,159.6,54.9,离异
陈颖,37,甘肃省,164.7,55.0,恋爱中
毛小红,35,河南省,159.8,54.3,已婚
戴利,28,贵州省,161.6,52.8,单身
张霞,20,广东省,160.7,64.6,已婚
王秀珍,39,吉林省,164.8,53.2,已婚
印丽丽,27,上海市,165.5,53.0,离异
王凯,37,安徽省,167.9,57.2,离异
傅洋,23,河南省,161.5,57.7,离异
洪强,29,澳门特别行政区,154.1,48.2,离异
林兵,19,黑龙江省,156.0,55.9,已婚
陈建华,37,湖北省,170.7,68.4,离异
王琴,26,海南省,165.2,58.0,单身
许莉,20,云南省,153.0,51.7,离异
武丽丽,29,河南省,158.1,51.3,恋爱中
韩坤,18,四川省,161.2,52.2,恋爱中
麻斌,45,上海市,152.1,59.5,离异
曹明,19,重庆市,156.6,56.4,恋爱中
韩红,20,云南省,172.4,49.5,恋爱中
卓丹丹,42,河北省,149.3,53.3,已婚
刘斌,29,广西壮族自治区,167.5,66.8,离异
黄冬梅,36,澳门特别行政区,155.9,58.0,单身
贾玉兰,37,江苏省,159.7,54.4,恋爱中
贾平,39,陕西省,175.2,46.0,离异
陈丽丽,29,山西省,163.3,57.8,已婚
贾秀华,32,河北省,167.4,55.6,单身
崔杰,36,四川省,163.5,52.7,恋爱中
王磊,34,陕西省,163.3,52.9,已婚
刘丹丹,30,青海省,165.1,52.8,已婚
牟淑兰,38,陕西省,163.9,54.8,已婚
陈洁,25,宁夏回族自治区,167.6,54.7,单身
冯洁,18,福建省,153.1,62.6,恋爱中
兰宇,33,海南省,157.5,51.1,离异
周畅,35,贵州省,159.0,63.2,单身
樊秀荣,26,西藏自治区,151.3,73.8,已婚
李桂花,40,北京市,167.3,56.3,离异
张桂香,24,重庆市,161.7,56.7,已婚
朱小红,40,甘肃省,164.6,58.9,离异
杨春梅,24,上海市,164.8,55.5,单身
景建平,22,山东省,161.0,54.1,单身
郭秀云,32,青海省,161.0,61.8,恋爱中
余建平,40,安徽省,165.0,37.4,离异
徐峰,20,山东省,165.3,56.2,已婚
钟龙,39,澳门特别行政区,161.9,52.7,已婚
孟想,40,江西省,167.6,60.7,单身
徐淑兰,35,浙江省,158.1,57.4,已婚
袁博,27,内蒙古自治区,157.1,46.7,恋爱中
刘兰英,40,安徽省,158.9,60.2,恋爱中
耿秀华,43,辽宁省,166.8,58.1,已婚
刘兰英,34,江西省,165.6,58.1,恋爱中
安桂香,21,河北省,158.8,57.6,恋爱中
马敏,43,黑龙江省,166.0,59.5,恋爱中
李桂英,25,广西壮族自治区,167.9,59.2,离异
李红梅,18,江苏省,163.8,61.4,已婚
崔丹丹,35,内蒙古自治区,161.9,49.7,已婚
周玉兰,32,澳门特别行政区,161.2,50.5,恋爱中
