姓名,年龄,籍贯,身高,体重,婚恋
刘淑英,44,广东省,170.7,75.7,单身
胡鹏,42,青海省,174.8,69.4,恋爱中
萧兰英,22,甘肃省,166.9,57.9,离异
王晨,35,台湾省,169.3,76.9,恋爱中
张红,26,澳门特别行政区,173.3,60.0,离异
钱丽华,24,山西省,173.0,73.1,恋爱中
吕婷,40,辽宁省,166.7,71.2,已婚
李淑英,30,福建省,172.3,60.9,已婚
刘玉兰,32,青海省,174.1,74.5,离异
胡博,21,湖北省,178.5,78.4,恋爱中
刘瑜,25,云南省,163.7,62.5,单身
张强,28,香港特别行政区,175.1,74.1,单身
郑婷婷,36,天津市,175.1,100.8,恋爱中
谢博,36,湖南省,175.4,79.1,恋爱中
刘琳,18,辽宁省,177.7,75.2,单身
李桂芝,40,上海市,170.1,76.1,单身
何云,25,陕西省,167.4,68.1,单身
黄秀荣,19,湖南省,169.1,70.7,已婚
贺萍,20,四川省,185.9,55.1,恋爱中
林桂英,26,黑龙江省,176.1,57.1,离异
钱阳,24,天津市,169.2,78.7,恋爱中
詹志强,41,天津市,172.4,61.4,离异
王欣,25,内蒙古自治区,167.7,75.4,离异
傅岩,43,安徽省,167.6,71.7,离异
谢佳,24,宁夏回族自治区,172.3,64.8,单身
刘静,21,新疆维吾尔自治区,184.9,75.1,离异
陈晶,29,山西省,159.8,71.5,离异
许莉,31,宁夏回族自治区,168.0,76.8,离异
由莉,45,澳门特别行政区,167.2,69.1,单身
张丹,39,浙江省,175.0,76.9,单身
董杨,19,吉林省,164.8,67.3,离异
田军,41,重庆市,169.2,64.8,已婚
黄淑英,43,四川省,182.6,73.2,单身
杨宇,25,湖南省,164.4,77.3,恋爱中
刘秀芳,24,澳门特别行政区,184.7,78.3,离异
周勇,22,北京市,162.9,66.1,离异
李俊,23,宁夏回族自治区,179.6,64.3,已婚
欧秀华,32,西藏自治区,174.7,76.2,恋爱中
沈桂芝,45,天津市,166.4,69.5,单身
苏淑华,32,天津市,152.6,61.8,单身
谢帆,19,台湾省,170.5,60.0,单身
范建平,20,香港特别行政区,181.8,58.6,恋爱中
岳婷婷,23,重庆市,169.4,71.0,离异
郝彬,33,上海市,180.6,58.5,离异
谢桂兰,24,辽宁省,179.0,70.1,离异
吴倩,19,湖北省,166.1,73.7,恋爱中
郭鑫,30,江苏省,173.2,65.2,单身
卓建国,30,广西壮族自治区,172.4,66.9,已婚
屈秀荣,43,上海市,172.7,75.3,离异
李丹,27,甘肃省,181.5,60.1,离异
萧瑞,40,海南省,184.8,54.4,离异
梁婷婷,22,湖北省,171.1,74.7,恋爱中
周玉梅,27,海南省,173.7,65.0,恋爱中
徐丽丽,19,宁夏回族自治区,170.8,66.1,单身
李丽华,41,河南省,168.5,76.8,已婚
郭丽华,19,河南省,174.1,64.5,单身
成峰,36,吉林省,177.4,72.5,离异
黄建国,34,海南省,176.9,75.0,恋爱中
周华,19,黑龙江省,167.0,65.5,单身
黄淑珍,45,河北省,176.5,74.9,恋爱中
韩鹏,20,河南省,171.9,70.9,单身
张婷,39,江苏省,179.7,65.3,恋爱中
陆莉,30,安徽省,175.3,68.4,单身
蔡宇,36,陕西省,170.7,78.8,恋爱中
关刚,36,广西壮族自治区,177.0,76.5,单身
胡桂香,37,江西省,179.8,70.2,单身
张凤兰,31,甘肃省,176.1,67.5,已婚
李涛,26,河南省,173.9,69.0,恋爱中
刘兰英,39,四川省,172.6,74.8,已婚
荆娟,25,广东省,167.1,86.7,已婚
王成,30,新疆维吾尔自治区,166.0,60.3,恋爱中
王娟,39,天津市,178.9,76.3,已婚
许秀云,32,上海市,175.7,75.0,已婚
谈欣,42,湖南省,171.9,62.8,单身
王春梅,18,云南省,172.5,64.6,离异
梁亮,37,安徽省,177.9,68.8,单身
黄秀兰,20,台湾省,167.0,67.4,恋爱中
高辉,34,贵州省,174.5,65.5,已婚
王磊,22,西藏自治区,167.1,71.9,已婚
李桂兰,20,湖北省,173.5,65.9,恋爱中
侯玉梅,29,上海市,169.2,71.9,已婚
樊颖,23,河南省,163.3,58.7,离异
黄娟,44,海南省,167.7,68.3,已婚
吴超,37,北京市,173.9,81.8,单身
舒秀华,39,山东省,177.1,68.7,已婚
吴静,39,江西省,171.9,62.0,单身
孙静,22,天津市,171.9,67.7,已婚
韦雪,21,香港特别行政区,173.9,63.4,单身
周斌,41,黑龙江省,175.1,82.3,恋爱中
王冬梅,26,安徽省,171.3,73.2,已婚
魏秀云,37,上海市,176.1,66.8,恋爱中
骆瑞,40,香港特别行政区,173.3,70.1,已婚
陈强,24,山东省,172.6,63.8,已婚
李英,34,海南省,172.1,74.0,离异
王志强,26,黑龙江省,180.7,77.7,单身
李彬,20,内蒙古自治区,184.9,63.9,离异
郭洁,44,福建省,177.2,71.5,已婚
傅凤兰,19,湖南省,185.1,63.5,单身
张红霞,28,云南省,167.0,65.2,恋爱中
杨利,38,黑龙江省,159.3,65.8,已婚
段淑英,23,湖南省,167.4,71.2,离异
侯雪梅,35,北京市,174.1,85.0,离异
任秀云,35,四川省,177.7,65.4,单身
罗兵,21,吉林省,166.6,73.9,单身
杨娜,40,上海市,164.1,84.7,恋爱中
韩龙,35,河南省,179.1,66.2,单身
任建军,44,辽宁省,161.7,80.8,已婚
王小红,36,陕西省,171.3,79.9,恋爱中
刘霞,31,辽宁省,162.4,65.2,恋爱中
张洋,19,山东省,172.0,70.4,已婚
张磊,29,河北省,169.3,75.0,单身
杨丹,29,江苏省,165.6,68.9,恋爱中
傅玉英,39,河南省,172.7,74.1,恋爱中
陆雪,39,广东省,176.3,61.0,单身
魏莉,29,山西省,162.8,80.2,离异
白亮,37,湖北省,174.0,64.0,恋爱中
朱玉,25,浙江省,181.3,70.9,恋爱中
叶桂香,43,西藏自治区,179.1,70.5,恋爱中
姜丹丹,31,上海市,184.4,84.0,单身
张桂香,23,贵州省,170.5,77.8,已婚
任荣,43,陕西省,175.9,80.9,离异
郭玉英,43,香港特别行政区,166.2,75.5,恋爱中
卞婷,26,天津市,178.4,55.9,恋爱中
王丽娟,43,贵州省,164.9,53.7,单身
罗建平,30,湖南省,170.4,75.7,单身
李红,45,陕西省,181.0,70.6,离异
殷淑珍,25,天津市,181.8,59.0,恋爱中
刘佳,44,新疆维吾尔自治区,161.8,69.6,离异
王雷,29,澳门特别行政区,174.3,69.7,已婚
魏静,44,陕西省,159.6,69.3,恋爱中
靳玉英,25,河北省,164.2,75.4,单身
庞晨,39,四川省,174.2,62.5,恋爱中
李红,30,山西省,168.9,61.5,已婚
唐娜,26,天津市,171.6,77.6,单身
陈刚,42,江西省,166.1,74.0,已婚
张艳,29,西藏自治区,168.8,63.7,离异
朱雪梅,39,黑龙江省,171.4,61.7,已婚
刘宇,18,山西省,168.7,60.4,单身
余淑珍,26,上海市,183.8,70.3,恋爱中
刘淑珍,36,青海省,167.8,71.7,已婚
樊莹,19,上海市,171.3,68.2,单身
吴秀兰,37,安徽省,175.7,76.1,离异
阳莹,29,四川省,168.8,65.4,已婚
王桂芝,31,贵州省,170.3,51.6,单身
杨桂芳,30,福建省,162.9,80.9,恋爱中
李秀梅,26,四川省,181.9,68.0,单身
李晨,40,山东省,175.5,72.5,离异
林莉,18,湖南省,190.5,79.0,恋爱中
周桂芝,29,甘肃省,171.2,62.4,离异
黄兵,20,江苏省,162.4,71.6,已婚
曲秀梅,37,云南省,167.5,58.6,已婚
黄想,39,吉林省,168.1,61.3,单身
杨慧,41,天津市,182.1,77.1,已婚
鞠莉,34,山东省,172.0,81.8,已婚
刘秀芳,39,北京市,172.5,63.1,离异
柯洋,28,青海省,181.1,74.3,离异
黄丹丹,40,辽宁省,165.8,68.5,已婚
刘凤英,35,云南省,166.7,58.9,恋爱中
曹亮,24,江苏省,177.6,85.3,离异
侯兰英,39,河北省,163.6,74.5,离异
杨林,39,广东省,168.1,66.1,恋爱中
谢佳,37,新疆维吾尔自治区,168.4,63.1,已婚
张婷,30,广西壮族自治区,172.3,63.4,单身
王晶,27,广东省,173.6,69.6,已婚
刘凤英,24,四川省,170.6,62.7,离异
魏彬,43,海南省,168.5,76.0,已婚
廖丹丹,32,甘肃省,175.0,62.2,离异
黄阳,32,山东省,172.6,76.0,恋爱中
乔颖,34,山东省,162.0,74.3,离异
杨秀荣,43,广西壮族自治区,168.0,74.6,恋爱中
郝秀华,39,天津市,167.4,55.6,单身
崔浩,27,安徽省,162.2,70.4,已婚
陈俊,20,西藏自治区,173.6,62.8,恋爱中
蓝桂荣,39,河南省,175.8,56.7,已婚
刘桂英,25,河北省,171.6,60.3,恋爱中
张丹丹,22,江苏省,168.1,70.4,单身
邱冬梅,19,甘肃省,166.8,66.9,恋爱中
陆波,33,宁夏回族自治区,178.0,65.4,单身
程海燕,32,北京市,177.0,61.0,离异
秦淑英,38,河南省,175.2,81.5,恋爱中
单帆,40,云南省,157.2,63.6,离异
廖涛,33,福建省,175.5,68.4,离异
黄玲,25,澳门特别行政区,174.2,65.2,恋爱中
梁雪,38,云南省,172.5,68.8,单身
顾俊,42,湖北省,179.0,72.0,单身
刘秀梅,42,河北省,174.0,66.7,离异
赵璐,25,河南省,169.1,66.5,恋爱中
黄瑜,43,江西省,174.4,66.6,离异
刘琴,19,澳门特别行政区,173.7,86.6,恋爱中
田凤兰,45,天津市,177.2,67.4,单身
李瑜,32,黑龙江省,179.2,66.7,恋爱中
侯帆,43,新疆维吾尔自治区,159.8,61.9,离异
戴雪,39,上海市,160.8,67.2,已婚
桑洁,42,福建省,172.1,83.4,离异
翟华,37,江苏省,174.0,68.2,离异
陈建军,44,吉林省,177.0,52.3,离异
周兵,23,山西省,173.4,76.2,离异
吴桂珍,32,台湾省,163.1,79.2,已婚
陈志强,42,台湾省,174.0,66.7,恋爱中
李峰,44,台湾省,175.8,88.2,已婚
王淑英,42,四川省,173.1,72.0,离异
林荣,38,山西省,169.2,63.2,恋爱中
蒙婷婷,26,海南省,177.0,63.2,离异
周红霞,20,江西省,172.4,66.2,已婚
朱海燕,25,内蒙古自治区,174.9,72.7,已婚
何娟,28,江苏省,178.2,65.9,已婚
骆秀梅,35,上海市,170.4,62.2,单身
陈琴,22,黑龙江省,169.3,73.0,恋爱中
张金凤,25,香港特别行政区,176.5,62.6,离异
张雪梅,40,北京市,177.2,80.8,恋爱中
冯建军,40,海南省,174.5,85.0,恋爱中
陈东,20,陕西省,167.4,60.0,离异
马倩,31,青海省,161.3,82.0,已婚
蔡桂英,35,湖南省,175.9,69.6,离异
景玉华,31,广东省,173.7,61.0,单身
杨玲,24,台湾省,186.7,71.0,离异
颜博,30,江西省,172.7,75.8,单身
王桂兰,45,陕西省,174.9,71.8,离异
郭燕,33,甘肃省,167.3,73.8,单身
夏淑珍,29,浙江省,183.3,80.8,已婚
李建华,42,西藏自治区,181.6,65.9,离异
陈辉,45,香港特别行政区,166.1,69.0,离异
廖洋,35,安徽省,172.3,78.8,恋爱中
陈建军,33,山东省,161.8,82.2,恋爱中
王龙,26,香港特别行政区,171.1,66.6,离异
唐冬梅,33,安徽省,165.9,56.8,单身
廖楠,30,吉林省,176.9,70.6,已婚
邹淑珍,39,宁夏回族自治区,164.3,59.6,离异
曹玉华,41,河北省,170.0,83.4,恋爱中
夏兰英,44,河北省,170.4,58.0,离异
周俊,22,山东省,170.5,67.8,单身
李瑞,30,西藏自治区,155.8,69.6,单身
罗雷,20,山东省,170.6,75.6,离异
叶晨,22,山东省,183.1,79.0,离异
王桂香,23,黑龙江省,170.4,61.1,单身
阮淑珍,26,湖北省,187.4,70.5,离异
焦凤英,28,宁夏回族自治区,172.1,69.8,恋爱中
吴宇,32,青海省,173.2,68.8,已婚
王伟,28,河北省,168.6,65.6,离异
宋帆,26,贵州省,171.8,65.7,离异
薛兰英,26,安徽省,167.7,70.9,单身
张华,33,福建省,170.5,82.0,单身
罗刚,41,河北省,156.1,78.7,单身
许丽,29,湖南省,179.5,53.4,恋爱中
陈丹丹,38,广西壮族自治区,169.9,67.0,单身
黄辉,42,山西省,163.6,63.8,单身
朱岩,42,辽宁省,165.3,84.0,单身
谢艳,25,广西壮族自治区,177.6,80.2,恋爱中
张玉华,44,香港特别行政区,176.3,61.0,单身
张洋,37,浙江省,168.9,73.9,恋爱中
陈娜,25,甘肃省,164.7,75.7,恋爱中
陈瑜,33,天津市,170.6,67.0,单身
卓雷,36,广东省,176.3,73.6,恋爱中
陈瑜,32,香港特别行政区,169.8,79.3,已婚
陈兰英,42,青海省,165.5,74.9,已婚
赵丽丽,23,安徽省,175.6,67.5,单身
廖桂珍,42,甘肃省,174.0,60.0,恋爱中
姚秀珍,27,重庆市,177.5,68.5,单身
杨辉,36,天津市,168.9,78.4,单身
倪淑华,27,广西壮族自治区,167.8,58.7,离异
徐桂兰,30,安徽省,162.7,74.8,恋爱中
赵旭,20,天津市,164.3,84.0,恋爱中
陈伟,21,澳门特别行政区,159.5,83.6,已婚
张杰,45,天津市,173.3,69.2,单身
魏秀云,43,新疆维吾尔自治区,168.7,73.2,单身
华宁,29,浙江省,171.8,78.8,离异
施桂花,39,辽宁省,172.7,71.2,已婚
蒋帆,20,香港特别行政区,169.8,69.5,已婚
古燕,18,湖南省,173.8,56.3,离异
李桂芳,44,江西省,163.9,75.9,离异
董莉,21,海南省,173.0,68.5,离异
罗丽娟,29,江西省,172.1,72.8,离异
董娜,40,河北省,168.8,63.8,恋爱中
陈芳,31,台湾省,173.2,62.2,恋爱中
朱明,41,宁夏回族自治区,174.4,56.4,已婚
张林,37,云南省,178.2,73.8,离异
包桂芳,32,重庆市,173.5,77.9,离异
管丹,44,安徽省,182.0,78.1,已婚
吴颖,28,宁夏回族自治区,161.0,59.8,恋爱中
阴帆,44,甘肃省,168.3,70.2,单身
彭艳,26,香港特别行政区,175.1,64.2,离异
刘志强,25,新疆维吾尔自治区,173.1,64.0,离异
范杨,36,辽宁省,168.3,58.7,离异
刘伟,28,湖南省,166.5,59.2,单身
刘萍,33,辽宁省,166.1,78.4,已婚
张桂英,23,上海市,166.3,91.1,离异
李淑英,24,西藏自治区,175.0,71.5,已婚
宫霞,43,西藏自治区,166.8,75.6,已婚
翟冬梅,28,甘肃省,168.5,71.0,已婚
马凤英,37,香港特别行政区,187.4,69.2,已婚
杜秀梅,35,黑龙江省,178.9,64.4,单身
王阳,34,河南省,171.8,84.2,恋爱中
朱玉华,20,贵州省,168.2,84.5,恋爱中
杨欢,41,广西壮族自治区,176.2,65.5,离异
蒋丹,33,贵州省,175.8,77.8,恋爱中
许秀华,40,湖南省,175.7,57.4,离异
邵婷,38,浙江省,167.6,68.0,离异
萧欢,32,山西省,171.6,75.0,单身
陆杰,20,辽宁省,173.1,59.3,已婚
巩军,25,上海市,174.3,74.9,离异
陈辉,40,海南省,175.4,78.6,恋爱中
张利,27,黑龙江省,177.0,73.7,已婚
陈雪梅,33,浙江省,171.6,56.7,已婚
黄勇,31,江西省,174.6,71.7,已婚
李凯,29,吉林省,173.6,59.8,离异
傅金凤,26,黑龙江省,165.5,78.4,已婚
杨华,26,香港特别行政区,171.8,75.5,恋爱中
谭敏,21,广西壮族自治区,172.2,70.2,恋爱中
赵明,28,河北省,177.6,65.9,单身
罗辉,41,海南省,172.6,66.3,恋爱中
胡桂兰,24,湖北省,169.4,67.5,恋爱中
张建平,41,新疆维吾尔自治区,173.3,66.2,离异
胡玉兰,26,山东省,179.5,62.8,已婚
颜静,21,山东省,170.9,66.5,恋爱中
杨凤英,27,辽宁省,180.7,71.6,恋爱中
赵桂花,29,贵州省,178.2,58.1,恋爱中
欧霞,27,吉林省,173.6,77.1,单身
张雪,40,天津市,172.5,78.5,恋爱中
钟晶,26,山西省,168.9,81.3,单身
史宇,19,河南省,185.8,67.1,已婚
莫秀英,40,贵州省,169.3,81.6,恋爱中
陈利,38,安徽省,181.5,65.8,离异
杨瑜,21,江苏省,169.5,67.7,单身
刘波,36,台湾省,163.9,62.7,已婚
陈静,33,上海市,166.0,63.9,离异
李东,32,新疆维吾尔自治区,171.8,71.9,已婚
黄军,23,吉林省,181.3,62.0,单身
阮凤兰,26,湖南省,177.9,68.3,离异
纪英,21,香港特别行政区,171.7,75.4,单身
李玉兰,30,香港特别行政区,165.3,73.1,离异
王龙,20,台湾省,173.0,73.9,单身
杨婷婷,22,河南省,173.7,89.6,恋爱中
窦颖,43,宁夏回族自治区,168.2,65.8,已婚
易玉梅,20,香港特别行政区,168.3,65.6,恋爱中
韩洁,21,天津市,168.2,79.5,离异
韩玉珍,37,香港特别行政区,180.5,65.4,恋爱中
杨建平,42,四川省,167.0,73.8,离异
李瑜,32,重庆市,168.7,75.1,离异
刘冬梅,27,陕西省,173.2,57.9,离异
胡英,27,河北省,181.3,84.4,单身
黎晨,37,台湾省,168.3,66.9,单身
张超,42,内蒙古自治区,173.7,72.7,恋爱中
林平,38,云南省,176.0,86.1,恋爱中
张凤英,26,北京市,170.9,63.6,单身
景飞,23,陕西省,163.7,64.2,恋爱中
孙浩,23,山西省,171.8,84.4,单身
黄秀兰,23,香港特别行政区,168.9,71.8,单身
刘斌,31,新疆维吾尔自治区,171.9,79.5,离异
毛玉,40,天津市,187.2,65.8,离异
陈兵,27,湖南省,169.1,78.4,单身
朱桂兰,25,辽宁省,176.1,84.8,已婚
薛磊,40,甘肃省,175.5,67.1,已婚
范明,40,香港特别行政区,175.5,78.9,离异
刘瑞,20,山西省,176.9,74.1,恋爱中
杨想,26,天津市,178.4,79.4,恋爱中
李建军,31,重庆市,180.3,75.2,单身
黄军,35,云南省,171.0,71.2,恋爱中
詹春梅,38,河北省,179.2,63.5,恋爱中
覃玉梅,26,湖北省,174.2,66.9,恋爱中
石萍,20,台湾省,172.2,80.2,单身
杨桂英,23,台湾省,173.1,70.4,已婚
王丽,37,海南省,163.8,76.0,已婚
牟海燕,32,上海市,175.9,87.3,单身
潘畅,32,海南省,170.2,71.8,已婚
李楠,40,浙江省,173.5,82.6,离异
李敏,26,四川省,171.4,72.2,离异
梁雪梅,32,宁夏回族自治区,175.6,71.5,单身
杨杨,37,湖南省,169.3,71.6,单身
张霞,31,海南省,178.4,61.8,已婚
张秀荣,37,广西壮族自治区,172.8,64.4,已婚
巩洋,18,福建省,179.2,57.8,单身
孙丹丹,25,四川省,168.6,73.0,单身
陈坤,42,甘肃省,181.4,69.5,已婚
董玉华,36,湖南省,168.7,85.0,单身
王林,42,天津市,163.3,52.4,恋爱中
张芳,33,浙江省,174.6,66.0,离异
夏磊,26,山西省,165.9,75.7,恋爱中
申飞,36,河南省,173.5,65.5,离异
张淑兰,38,上海市,164.3,77.0,离异
牟莉,20,甘肃省,175.9,69.2,离异
黄畅,29,广西壮族自治区,183.1,61.4,离异
刘海燕,28,新疆维吾尔自治区,162.8,64.5,已婚
张红梅,39,上海市,171.7,71.9,单身
陈柳,45,宁夏回族自治区,170.6,72.8,恋爱中
黎娜,28,广西壮族自治区,164.5,81.6,离异
王淑珍,40,西藏自治区,171.5,78.9,离异
王欢,27,澳门特别行政区,174.1,73.7,离异
关飞,44,广东省,175.4,73.6,单身
米凯,32,海南省,175.9,80.6,单身
黄艳,28,澳门特别行政区,173.2,75.7,已婚
祝萍,28,广东省,171.5,81.5,单身
马想,42,台湾省,167.9,84.4,离异
覃琴,45,西藏自治区,171.8,58.6,单身
沙凤英,39,山西省,172.8,64.6,离异
宋鹏,31,湖北省,177.0,64.8,单身
王欢,24,香港特别行政区,169.3,54.9,已婚
李云,37,宁夏回族自治区,169.3,50.6,离异
贺林,38,广东省,162.5,76.1,离异
陈超,42,福建省,176.7,73.4,单身
张玉,24,河北省,166.2,69.6,已婚
陈敏,35,香港特别行政区,172.0,60.7,恋爱中
赵秀珍,27,广西壮族自治区,181.0,77.0,离异
李颖,40,内蒙古自治区,170.7,70.2,离异
张婷婷,21,贵州省,173.3,53.7,单身
孟健,38,天津市,170.5,64.5,恋爱中
贾玉兰,40,重庆市,166.0,67.8,恋爱中
屈辉,27,福建省,182.8,75.1,单身
钟晨,35,天津市,168.6,74.6,离异
